res_id,date,total_sales_generated_ads,total_ads_consumed_ads,ROI
18175468,2022-06-01,105854.05,21257.6,4.98
18175468,2022-07-01,34037.29,147.2,231.23
18175468,2022-08-01,48935.0,173.3,282.37
18175468,2022-09-01,61685.0,185.9,331.82
18175468,2022-10-01,78660.0,16910.0,4.65
18175468,2022-11-01,89180.0,15140.0,5.89
18175468,2022-12-01,208465.0,28040.0,7.43
18175468,2023-01-01,74530.0,12080.0,6.17
18175468,2023-02-01,150675.0,35387.0,4.26
18175468,2023-03-01,155480.0,40315.0,3.86
18175468,2023-04-01,172090.0,47839.0,3.6
18175468,2023-05-01,183320.0,49137.0,3.73
18175468,2023-06-01,99590.0,20735.0,4.8
18175468,2023-07-01,122450.0,28616.0,4.28
18175468,2023-08-01,227180.0,48888.0,4.65
18175468,2023-09-01,253540.0,39513.0,6.42
18175468,2023-10-01,323760.0,41221.0,7.85
18175468,2023-11-01,407800.0,42760.0,9.54
18175468,2024-01-01,368474.9,99149.15,3.72
